fieldID,irrigation,buffer,fence,treatment,scenario_type,area,OrganicN,NO3,OrganicP,SolubleP,Sediment,TotalP,TotalN
4686,flood_irr,buff_none,no_fence,flo,current condition,3.61749,16.97148,5.3294044,2.262886492,2.44753803,16.52699315,4.710424522,22.3008844
4686,flood_irr,buff_none,fenced,flo_fence,alternative,3.61749,3.591847619,1.127916275,0.478917777,0.517997467,3.497776329,0.996915244,4.719763894
4686,flood_irr,buffer,no_fence,flo_buff,alternative,3.61749,3.626384615,1.0949631,0.483522755,0.483522755,3.531408794,0.96704551,4.721347715
4686,flood_irr,buffer,fenced,flo_buff_fence,alternative,3.61749,3.453699634,1.042822,0.460497862,0.460497862,3.36324647,0.920995724,4.496521634
4686,sprinkler_irr,buff_none,no_fence,spr,alternative,3.61749,6.53584568,1.898645724,0.829989524,0.89771667,6.69733064,1.727706194,8.434491404
4686,sprinkler_irr,buff_none,fenced,spr_fence,alternative,3.61749,6.224614934,1.808234022,0.790466214,0.854968257,6.378410134,1.645434471,8.032848956
4686,sprinkler_irr,buffer,no_fence,spr_buff,alternative,3.61749,6.284467,1.7554047,0.79806685,0.79806685,6.439741,1.5961337,8.0398717
4686,sprinkler_irr,buffer,fenced,spr_buff_fence,alternative,3.61749,5.985206667,1.671814,0.760063667,0.760063667,6.133086667,1.520127334,7.657020667
4687,flood_irr,buff_none,no_fence,flo,current condition,4.41631,6.962557526,6.05763421,0.858565184,0.928624103,6.15681766,1.787189287,13.02019174
4687,flood_irr,buff_none,fenced,flo_fence,alternative,4.41631,0.884134289,1.282038986,0.181706917,0.196534201,1.303030192,0.378241118,2.166173275
4687,flood_irr,buffer,no_fence,flo_buff,alternative,4.41631,0.89263558,1.244582966,0.183454099,0.183454099,1.315559329,0.366908198,2.137218546
4687,flood_irr,buffer,fenced,flo_buff_fence,alternative,4.41631,0.850129124,1.18531711,0.174718189,0.174718189,1.252913646,0.349436378,2.035446234
4687,sprinkler_irr,buff_none,no_fence,spr,alternative,4.41631,1.627422451,2.102096739,0.328316971,0.355107636,2.607120152,0.683424607,3.72951919
4687,sprinkler_irr,buff_none,fenced,spr_fence,alternative,4.41631,1.549926144,2.001996894,0.31268283,0.338197749,2.482971574,0.650880579,3.551923038
4687,sprinkler_irr,buffer,no_fence,spr_buff,alternative,4.41631,1.56482928,1.9435066,0.315689395,0.315689395,2.5068463,0.63137879,3.50833588
4687,sprinkler_irr,buffer,fenced,spr_buff_fence,alternative,4.41631,1.4903136,1.850958667,0.300656567,0.300656567,7.822745906,0.601313134,3.341272267
4688,flood_irr,buff_none,no_fence,flo,current condition,5.28404,4.433115108,6.053735312,0.529460867,0.572664873,3.657755851,1.10212574,10.48685042
4688,flood_irr,buff_none,fenced,flo_fence,alternative,5.28404,0.562935252,1.281213823,0.11205521,0.121198915,0.774128222,0.233254125,1.844149075
4688,flood_irr,buffer,no_fence,flo_buff,alternative,5.28404,0.568348091,1.24378191,0.113132664,0.113132664,0.781571763,0.226265328,1.812130001
4688,flood_irr,buffer,fenced,flo_buff_fence,alternative,5.28404,0.541283896,1.1845542,0.107745394,0.107745394,0.74435406,0.215490788,1.725838096
4688,sprinkler_irr,buff_none,no_fence,spr,alternative,5.28404,1.011468713,2.086356214,0.19746221,0.213575127,1.511643952,0.411037337,3.097824927
4688,sprinkler_irr,buff_none,fenced,spr_fence,alternative,5.28404,0.963303536,1.987005918,0.188059248,0.203404883,1.439660906,0.391464131,2.950309454
4688,sprinkler_irr,buffer,no_fence,spr_buff,alternative,5.28404,0.97256607,1.9289536,0.18986751,0.18986751,1.4535038,0.37973502,2.90151967
4688,sprinkler_irr,buffer,fenced,spr_buff_fence,alternative,5.28404,0.9262534,1.837098667,0.1808262,0.1808262,1.384289333,0.3616524,2.763352067
4689,flood_irr,buff_none,no_fence,flo,current condition,1.74645,3.957239876,6.813506271,0.449807225,0.486511494,3.118486906,0.936318719,10.77074615
4689,flood_irr,buff_none,fenced,flo_fence,alternative,1.74645,0.502506651,1.442011909,0.095197297,0.102965396,0.659997229,0.198162693,1.94451856
4689,flood_irr,buffer,no_fence,flo_buff,alternative,1.74645,0.507338446,1.399882124,0.096112655,0.096112655,0.666343356,0.19222531,1.90722057
4689,flood_irr,buffer,fenced,flo_buff_fence,alternative,1.74645,0.483179472,1.33322107,0.091535862,0.091535862,0.63461272,0.183071724,1.816400542
4689,sprinkler_irr,buff_none,no_fence,spr,alternative,1.74645,0.871056295,2.234485228,0.161610941,0.174798394,1.23712498,0.336409335,3.105541523
4689,sprinkler_irr,buff_none,fenced,spr_fence,alternative,1.74645,0.829577424,2.128081169,0.153915182,0.166474661,1.178214266,0.320389843,2.957658593
4689,sprinkler_irr,buffer,no_fence,spr_buff,alternative,1.74645,0.83755413,2.0659072,0.155395135,0.155395135,1.18954325,0.31079027,2.90346133
4689,sprinkler_irr,buffer,fenced,spr_buff_fence,alternative,1.74645,0.7976706,1.967530667,0.147995367,0.147995367,1.132898333,0.295990734,2.765201267
4690,flood_irr,buff_none,no_fence,flo,current condition,1.80744,6.713061117,6.61654178,0.808941085,0.874950678,5.844207964,1.683891763,13.3296029
4690,flood_irr,buff_none,fenced,flo_fence,alternative,1.80744,0.852452205,1.400326303,0.171204462,0.185174747,1.23686941,0.356379209,2.252778508
4690,flood_irr,buffer,no_fence,flo_buff,alternative,1.80744,0.860648861,1.359414403,0.172850659,0.172850659,1.248762386,0.345701318,2.220063264
4690,flood_irr,buffer,fenced,flo_buff_fence,alternative,1.80744,0.819665582,1.294680384,0.164619675,0.164619675,1.18929751,0.32923935,2.114345966
4690,sprinkler_irr,buff_none,no_fence,spr,alternative,1.80744,1.510507034,2.225920686,0.297600977,0.321885216,2.376733632,0.619486193,3.73642772
