fieldID,irrigation,buffer,fence,treatment,scenario_type,area,OrganicN,NO3,OrganicP,SolubleP,Sediment,TotalP,TotalN,sed_norm,P_norm,N_norm
4796,flood_irr,buff_none,no_fence,flo,current condition,140.81,26.17417186,5.152309885,3.514171862,3.800928286,26.98989488,7.315100148,31.32648175,0.191675981,0.051950147,0.222473416
4796,flood_irr,buff_none,fenced,flo_fence,alternative,140.81,3.323704363,1.090435954,0.743740076,0.804429266,5.712147064,1.548169342,4.414140317,0.040566345,0.01099474,0.031348202
4796,flood_irr,buffer,no_fence,flo_buff,alternative,140.81,3.355663059,1.058577803,0.750891423,0.750891423,5.767071555,1.501782846,4.414240862,0.040956406,0.010665314,0.031348916
4796,flood_irr,buffer,fenced,flo_buff_fence,alternative,140.81,3.19586958,1.008169336,0.715134689,0.715134689,5.4924491,1.430269378,4.204038916,0.039006101,0.010157442,0.02985611
4796,sprinkler_irr,buff_none,no_fence,spr,alternative,140.81,7.31149692,1.769966365,1.546766312,1.672982443,13.4180592,3.219748755,9.081463285,0.095291948,0.02286591,0.064494448
4796,sprinkler_irr,buff_none,fenced,spr_fence,alternative,140.81,6.9633304,1.685682253,1.473110774,1.593316613,12.779104,3.066427387,8.649012653,0.090754236,0.021777057,0.061423284
4796,sprinkler_irr,buffer,no_fence,spr_buff,alternative,140.81,7.0302855,1.6364334,1.4872753,1.4872753,12.90198,2.9745506,8.6667189,0.091626873,0.021124569,0.06154903
4796,sprinkler_irr,buffer,fenced,spr_buff_fence,alternative,140.81,6.69551,1.558508,1.416452667,1.416452667,12.2876,2.832905334,8.254018,0.087263689,0.020118637,0.058618124
4797,flood_irr,buff_none,no_fence,flo,current condition,111.857,16.71223529,4.546646534,2.187771376,2.36629352,16.30277711,4.554064896,21.25888182,0.145746597,0.040713276,0.190054103
4797,flood_irr,buff_none,fenced,flo_fence,alternative,111.857,2.122188609,0.962253234,0.463020397,0.500802861,3.450323198,0.963823258,3.084441843,0.030845841,0.008616566,0.027574867
4797,flood_irr,buffer,no_fence,flo_buff,alternative,111.857,2.142594269,0.934140067,0.467472516,0.467472516,3.483499383,0.934945032,3.076734336,0.031142435,0.008358395,0.027505962
4797,flood_irr,buffer,fenced,flo_buff_fence,alternative,111.857,2.04056597,0.889657206,0.44521192,0.44521192,3.31761846,0.89042384,2.930223176,0.029659462,0.007960377,0.026196154
4797,sprinkler_irr,buff_none,no_fence,spr,alternative,111.857,4.6410546,1.573620164,0.96905718,1.048132246,8.17629176,2.017189426,6.214674764,0.073095933,0.018033645,0.055559105
4797,sprinkler_irr,buff_none,fenced,spr_fence,alternative,111.857,4.420052,1.498685871,0.9229116,0.998221187,7.786944534,1.921132787,5.918737871,0.069615174,0.0171749,0.052913433
4797,sprinkler_irr,buffer,no_fence,spr_buff,alternative,111.857,4.4625525,1.4549003,0.93178575,0.93178575,7.861819,1.8635715,5.9174528,0.070284551,0.016660303,0.052901944
4797,sprinkler_irr,buffer,fenced,spr_buff_fence,alternative,111.857,4.25005,1.385619333,0.887415,0.887415,7.487446667,1.77483,5.635669333,0.066937667,0.015866955,0.050382804
4792,flood_irr,buff_none,no_fence,flo,current condition,82.3448,30.96394627,8.484704177,4.221282399,4.565739042,32.41872417,8.787021441,39.44865045,0.393694856,0.106710095,0.479066686
4792,flood_irr,buff_none,fenced,flo_fence,alternative,82.3448,3.931929685,1.795704588,0.893393101,0.966293978,6.861105645,1.859687079,5.727634273,0.083321663,0.022584147,0.069556721
4792,flood_irr,buffer,no_fence,flo_buff,alternative,82.3448,3.969736701,1.743241325,0.901983419,0.901983419,6.927077815,1.803966838,5.712978026,0.084122832,0.021907477,0.069378735
4792,flood_irr,buffer,fenced,flo_buff_fence,alternative,82.3448,3.78070162,1.660229834,0.859031828,0.859031828,6.597216966,1.718063656,5.440931454,0.080116983,0.020864264,0.066074985
4792,sprinkler_irr,buff_none,no_fence,spr,alternative,82.3448,5.46782964,2.194352568,1.166580688,1.261773672,9.76658956,2.42835436,7.662182208,0.118606027,0.029490075,0.093049983
4792,sprinkler_irr,buff_none,fenced,spr_fence,alternative,82.3448,5.2074568,2.089859589,1.111029226,1.201689211,9.301513866,2.312718437,7.297316389,0.112958121,0.028085786,0.088619031
4792,sprinkler_irr,buffer,no_fence,spr_buff,alternative,82.3448,5.2575285,2.0288023,1.1217122,1.1217122,9.3909515,2.2434244,7.2863308,0.114044257,0.027244275,0.088485621
4792,sprinkler_irr,buffer,fenced,spr_buff_fence,alternative,82.3448,5.00717,1.932192667,1.068297333,1.068297333,8.943763333,2.136594666,6.939362667,0.108613578,0.025946929,0.08427202
